fileName	prodCode	priceSuffix	price	name	keywords.0	description	annotation	requiresShipping	confirmationMessageTemplateName
al_472	472		400	Rubrics for Transition Manual V: for Students with Disabilities	TRANSITION RUBRIC MANUALS	Best-selling comprehensive collection manual of all four disability areas  <p>  (mild, moderate, severe, and autism spectrum) 232 rubrics. ((http://tensigma.org/ManualTransitionV,More Info))	*Purchase of the Rubrics for Transition Manual V comes with one year’s Building License (1062) access to the online Transition Rubrics in the RubricMaker at no cost. 	true	surveyInstructions.html
am_412	412		145	Rubrics for Transition I: Higher Functioning/Mild Manual	TRANSITION RUBRIC MANUALS	Manual contains rubrics that define 65 research-based transition skills for students with  <p> mild disabilities. ((http://tensigma.org/rubricsfortransition I, MoreInfo)) 	* Purchase of the Rubrics for Transition Manual I comes with one year's Building License (1063) access to the online Mild Transition Rubrics in the RubricMaker at no cost.	true	surveyInstructions.html
an_432	432		145	Rubrics for Transition II: Lower Functioning/Moderate Manual	TRANSITION RUBRIC MANUALS	Manual contains rubrics that define 61 research-based transition skills for students with <p> moderate disabilities- somewhat independent adult lives. ((http://tensigma.org/rubricsfortransition II, Moreinfo)) 	* Purchase of the Rubrics for Transition Manual II comes with one year's Building License (1064) access to the online Moderate Transition Rubrics in the RubricMaker at no cost.	true	surveyInstructions.html
ao_442	442		145	Rubrics for Transition III: Autism Spectrum Manual	TRANSITION RUBRIC MANUALS	Manual contains rubrics that define 63 research-based transition skills for students <p> who are on the autism spectrum.  ((http://tensigma.org/rubricsfortransition III, More Info)) 	* Purchase of the Rubrics for Transition Manual III comes with one year's Building License (1065) access to the online Autism Transition Rubrics in the RubricMaker at no cost	true	surveyInstructions.html
ap_462	462		145	Rubrics for Transition IV: Severe Disabilities Manual	TRANSITION RUBRIC MANUALS	Manual contains rubrics that define 43 research-based transition skills for students with <p> severe disabilities- dependent adult lives. ((http://tensigma.org/rubricsfortransition IV)) More Info))	* Purchase of the Rubrics for Transition Manual IV comes with one year's Building License (1066) access to the online Severe Transition Rubrics in the RubricMaker at no cost	true	surveyInstructions.html
aq_520	520		495	Activities for Transition for Mild Disabilities	TRANSITION ACTIVITY MANUALS	These manuals contain more than 500 transition activities  <p> for the 65 skills in the "Mild Disabilities" series. ((http://tensigma.org/ActivitiesMild, More Info))		true	
ar_510	510		495	Activities for Transition for Moderate Disabilities	TRANSITION ACTIVITY MANUALS	These manuals contain more than 450 transition activities  <p> for the 61 skills in the "Moderate Disabilities" series. Item ((http://tensigma.org/ActivitiesModerate, More Info))		true	
as_575	575		895	Complete Collection of Transition Activities for Mild and Moderate Manuals	TRANSITION ACTIVITY MANUALS	Save money on the complete collection transition activities for students <p> with mild and moderate disabilities. ((http://tensigma.org/ActivitiesMain, More Info))  	*Purchase the complete collection of transition activities manuals and receive a Building license access to the online transition activities at no cost for a year.	true	surveyInstructions.html
at_1041	1041	per yr	129	Complete Collection of Transition Activities Online for Students with Mild and Moderate Disabilities (Individual License) <p>	ONLINE TRANSITION ACTIVITIES	Online printable transition activity units to more than 500 transition activities <p> for the 65 skills in the "Mild Disabilities" series and 450 transition activities for the 61 skills in the "Moderate Disabilities" series.		false	surveyInstructions.html
au_1043	1043	per yr	389	Complete Collection of Transition Activities Online for Students with Mild and Moderate Disabilities (Building License)  <p>	ONLINE TRANSITION ACTIVITIES	Online printable transition activity units to more than 500 transition activities <p> for the 65 skills in the "Mild Disabilities" series and 450 transition activities for the 61 skills in the "Moderate Disabilities" series.		false	surveyInstructions.html
av_610	610		795	Rubrics for Transition Manual V and Mild Activities Manuals	TRANSITION COMBINATION PACKAGES	Save money with the by purchasing a combination transition package: <p> Rubrics for Transition Manual V  Best-selling comprehensive collection manual of all four disability areas (mild, moderate, severe, and autism spectrum) 232 rubrics. (( http://tensigma.org/ManualTransitionV, More Info)) and Activities for Transition for Mild Disabilities ((http://tensigma.org/ActivitiesMild, More Info))	*Purchase of the Rubrics for Transition Manual V comes with one year’s Building License (1062) access to the online Transition Rubrics in the RubricMaker at no cost. 	true	surveyInstructions.html
aw_620	620		795	Rubrics for Transition Manual V and Moderate Activities Manuals	TRANSITION COMBINATION PACKAGES	Save money with the by purchasing a combination transition package: <p> Rubrics for Transition Manual V  Best-selling comprehensive collection manual of all four disability areas (mild, moderate, severe, and autism spectrum) 232 rubrics. (( http://tensigma.org/ManualTransitionV, More Info)) and Activities for Transition for Moderate Disabilities ((http://tensigma.org/ActivitiesModerate, More Info))	*Purchase of the Rubrics for Transition Manual V comes with one year’s Building License (1062) access to the online Transition Rubrics in the RubricMaker at no cost. 	true	surveyInstructions.html
ax_675	675		1195	Rubrics for Transition Manual V and Both Mild and Moderate Activities Manuals	TRANSITION COMBINATION PACKAGES	Save money with the by purchasing a combination transition package: <p>Rubrics for Transition Manual V  Best-selling comprehensive collection manual of all four disability areas (mild, moderate, severe, and autism spectrum) 232 rubrics. (( http://tensigma.org/ManualTransitionV, More Info)) and Activities for Transition for Mild andModerate Disabilities ((http://tensigma.org/ActivitiesMain, More Info))	*Purchase of this combination package comes with one year’s Building License access to online Transition Rubrics in the RubricMaker and online Transition Activities (Mild-Moderate) at no cost. 	true	surveyInstructions.html
ay_1016	1016	per yr	129	 Online Transition Survey Assessments for Students with Mild, Moderate, Severe, and Autism Disabilities (Individual License)	ONLINE TRANSITION SURVEY ASSESSMENTS	Quickly and effectively identify the student's transition strengths and needs <p> by emailing an appropriate transition survey to the whole IEP team. The results are automatically scored and graphed. (( http://tensigma.org/TraxSurveys, More Info))		false	surveyInstructions.html
az_1046	1046	per yr	389	Transition Survey Assessments Online for Students with Mild, Moderate, Severe, and Autism Disabilities (Building License)	ONLINE TRANSITION SURVEY ASSESSMENTS	Quickly and effectively identify the student's transition strengths and needs <p> by emailing an appropriate transition survey to the whole IEP team. The results are automatically scored and graphed. (( http://tensigma.org/TraxSurveys, More Info))		false	surveyInstructions.html
ba_1051	1051	per yr	129	Behavior Rubrics for K-Adult in the RubricMaker (Individual License)	BEHAVIOR RUBRICS IN THE RUBRICMAKER	Access more than 90 research-based behavior rubrics for students K-Adult.   <p>  ((Rubrics the Great Educational Tool, More Info)) 		false	surveyInstructions.html
bb_1073	1073	per yr	59	Behavior Rubrics for Primary Grades (K-2) in the RubricMaker (Individual License)	BEHAVIOR RUBRICS IN THE RUBRICMAKER	Access 41 research-based behavior rubrics for students K-2nd Grade Item #1073  <p> ((Rubrics the Great Educational Tool, More Info))		false	surveyInstructions.html
bc_1074	1074	per yr	59	Behavior Rubrics for Intermediate Grades (3-6) in the RubricMaker (Individual License)	BEHAVIOR RUBRICS IN THE RUBRICMAKER	Access 63 research-based behavior rubrics for students 3rd-6th Grade <p> ((Rubrics the Great Educational Tool, More Info)) 		false	surveyInstructions.html
bd_1075	1075	per yr	59	Behavior Rubrics for Middle School through Adult in the RubricMaker (Individual License)	BEHAVIOR RUBRICS IN THE RUBRICMAKER	Access 64 research-based behavior rubrics for students Middle School-Adult ((Rubrics the Great Educational Tool, More Info))		false	surveyInstructions.html
be_1082	1082	per yr	289	Behavior Rubrics for K-Adult in the RubricMaker (Building License)	BEHAVIOR RUBRICS IN THE RUBRICMAKER	Access more than 90 research-based behavior rubrics for students K-Adult.   <p>  ((Rubrics the Great Educational Tool, More Info))		false	surveyInstructions.html
bf_1083	1083	per yr	129	Behavior Rubrics for Primary Grades (K-2) in the RubricMaker (Building License)	BEHAVIOR RUBRICS IN THE RUBRICMAKER	Access 41 research-based behavior rubrics for students K-2nd Grade Item #1073  <p> ((Rubrics the Great Educational Tool, More Info))		false	surveyInstructions.html
bg_1084	1084	per yr	129	Behavior Rubrics for Intermediate Grades (3-6) in the RubricMaker (Building License)	BEHAVIOR RUBRICS IN THE RUBRICMAKER	Access 63 research-based behavior rubrics for students 3rd-6th Grade <p> ((Rubrics the Great Educational Tool, More Info))		false	surveyInstructions.html
bh_1085	1085	per yr	129	Behavior Rubrics for Middle School through Adult in the RubricMaker (Building License)	BEHAVIOR RUBRICS IN THE RUBRICMAKER	Access 64 research-based behavior rubrics for students Middle School-Adult ((Rubrics the Great Educational Tool, More Info)) 		false	surveyInstructions.html
bi_324	324		145	Behavior Rubrics for Students in the Primary Grades	BEHAVIOR RUBRIC MANUALS	Manual contains rubrics that define 41 research-based behavior skills <p> for students in the primary grades.  ((list of behavior rubrics for primary elem. Students, More Info)) 	* Purchase of the Behavior Rubrics for Students in the Primary Grades Manual  comes with one year's Building License (1083) access to the online  Primary Behavior  Rubrics in the RubricMaker at no cost	true	surveyInstructions.html
bj_325	325		145	Behavior Rubrics for Students in the Intermediate Grades	BEHAVIOR RUBRIC MANUALS	Manual contains rubrics that define 63 research-based behavior skills  <p> for students in the intermediate grades. ((list of behavior rubrics for intermediate elem. Students, More Info))	* Purchase of the Behavior Rubrics for Students in the Intermediate Grades comes with one year's Building License (1084) access to the online Intermediate Behavior Rubrics in the RubricMaker at no cost	true	surveyInstructions.html
bk_326	326		145	Behavior Rubrics for Students from Middle School to Adult	BEHAVIOR RUBRIC MANUALS	Manual contains rubrics that define 64 research-based behavior skills  <p> for students in middle school to Adult . ((list of behavior rubrics for middle school-adult, More Info)  	* Purchase of the Behavior Rubrics for Students Middle School-Adult  comes with one year's Building License (1085) access to the online Middle School to Adult  Rubrics in the RubricMaker at no cost	true	surveyInstructions.html
bl_353	353		325	All Three Behavior Manuals (Primary, Intermediate, Middle School through Adult)	BEHAVIOR RUBRIC MANUALS	This comprehensive collection of all three behavior manuals contains rubrics  <p> that define research-based behavior skills for students K-Adult. ((Three Great Behavior Rubrics Manuals, More Info))  	* Purchase of All Three Behavior Manuals comes with one year's Building License (1082) access to the online Behavior Rubrics in the RubricMaker at no cost	true	surveyInstructions.html
bm_1141	1141	per yr	129	 Online Behavior Survey Assessments for K-Adult (Individual License)	ONLINE BEHAVIOR SURVEY ASSESSMENTS	Surveys include a wide range of behavior skills and are emailed to the student's teachers and parents. <p> The skills are listed by category and the plus signs to left of skills show detail. The survey can be completed in three to seven minutes. Once the survey is completed by a survey taker, the results are automatically scored and graphed. The teacher then analyzes all the results to identify student strengths and needs.		false	surveyInstructions.html
bn_1143	1143	per yr	389	 Online Behavior Survey Assessments for K-Adult (Building License)	ONLINE BEHAVIOR SURVEY ASSESSMENTS	Surveys include a wide range of behavior skills and are emailed to the student's teachers and parents. <p> The skills are listed by category and the plus signs to left of skills show detail. The survey can be completed in three to seven minutes. Once the survey is completed by a survey taker, the results are automatically scored and graphed. The teacher then analyzes all the results to identify student strengths and needs.		false	surveyInstructions.html
